time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,id,date_time_utc
1712194887,1872,173212,43.5,88.0,4.5,5.025,8.215,173212,2024-04-04 01:41:27
1712195007,1872,173212,43.5,88.0,4.3,4.77,7.2,173212,2024-04-04 01:43:27
1712195128,1872,173212,43.5,88.0,4.5,4.745,7.56,173212,2024-04-04 01:45:28
1712195247,1872,173212,43.5,88.5,4.3,4.74,7.6,173212,2024-04-04 01:47:27
1712195367,1872,173212,43.0,88.5,4.5,4.375,7.065,173212,2024-04-04 01:49:27
1712195487,1872,173212,42.5,89.0,4.2,4.085,6.25,173212,2024-04-04 01:51:27
1712195607,1872,173212,42.5,89.5,4.3,4.355,6.755000000000001,173212,2024-04-04 01:53:27
1712195727,1872,173212,42.5,89.5,3.9,4.07,6.205,173212,2024-04-04 01:55:27
1712195847,1872,173212,41.5,90.0,3.5,3.66,5.970000000000001,173212,2024-04-04 01:57:27
1712195968,1872,173212,41.5,90.5,3.8,3.89,6.66,173212,2024-04-04 01:59:28
