time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,id,date_time_utc
1712194855,1872,173210,42.0,87.5,3.8,4.245,7.135,173210,2024-04-04 01:40:55
1712194975,1872,173210,42.0,87.5,3.8,4.765000000000001,6.75,173210,2024-04-04 01:42:55
1712195095,1872,173210,42.0,87.5,4.1,4.625,6.99,173210,2024-04-04 01:44:55
1712195215,1872,173210,42.0,87.5,4.3,4.51,6.984999999999999,173210,2024-04-04 01:46:55
1712195336,1872,173210,41.5,88.5,3.9,4.35,6.92,173210,2024-04-04 01:48:56
1712195455,1872,173210,41.0,88.5,3.9,4.235,6.355,173210,2024-04-04 01:50:55
1712195575,1872,173210,41.0,89.5,3.9,3.775,6.58,173210,2024-04-04 01:52:55
1712195695,1872,173210,40.5,89.5,3.5,4.11,6.705,173210,2024-04-04 01:54:55
1712195815,1872,173210,40.0,89.5,3.7,3.93,6.359999999999999,173210,2024-04-04 01:56:55
1712195935,1872,173210,40.0,90.0,3.6,3.53,5.28,173210,2024-04-04 01:58:55
