time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,id,date_time_utc
1710482480,1872,173211,34.5,92.0,1.0,0.01,1.1,173211,2024-03-15 06:01:20
1710482600,1872,173211,34.0,92.0,1.0,0.095,1.235,173211,2024-03-15 06:03:20
1710482720,1872,173211,34.0,92.0,0.9,0.04,1.785,173211,2024-03-15 06:05:20
1710482840,1872,173211,33.5,92.5,1.5,0.325,2.0,173211,2024-03-15 06:07:20
1710482960,1872,173211,33.5,92.5,3.2,2.23,4.455,173211,2024-03-15 06:09:20
1710483080,1872,173211,33.5,92.5,4.1,2.64,4.485,173211,2024-03-15 06:11:20
1710483200,1872,173211,33.0,93.0,3.2,1.84,3.525,173211,2024-03-15 06:13:20
1710483320,1872,173211,33.0,93.0,2.0,0.54,1.795,173211,2024-03-15 06:15:20
1710483440,1872,173211,32.5,93.0,2.1,0.635,2.64,173211,2024-03-15 06:17:20
1710483560,1872,173211,32.5,93.5,4.1,2.305,4.155,173211,2024-03-15 06:19:20
1710483680,1872,173211,32.5,93.5,4.4,2.68,4.885,173211,2024-03-15 06:21:20
1710483800,1872,173211,32.5,93.5,3.6,1.785,4.17,173211,2024-03-15 06:23:20
1710483920,1872,173211,32.5,93.5,2.8,1.265,3.83,173211,2024-03-15 06:25:20
1710484040,1872,173211,32.5,93.5,2.3,0.96,3.245,173211,2024-03-15 06:27:20
1710484160,1872,173211,32.0,93.5,2.2,1.17,3.705,173211,2024-03-15 06:29:20
1710484280,1872,173211,32.5,93.5,1.8,0.6499999999999999,2.07,173211,2024-03-15 06:31:20
1710484400,1872,173211,32.0,93.5,1.8,0.7799999999999999,3.0,173211,2024-03-15 06:33:20
1710484520,1872,173211,32.5,93.5,2.0,0.92,3.63,173211,2024-03-15 06:35:20
1710484640,1872,173211,32.5,93.5,2.2,1.085,2.955,173211,2024-03-15 06:37:20
1710484761,1872,173211,32.5,93.5,2.6,1.395,3.63,173211,2024-03-15 06:39:21
1710484881,1872,173211,32.0,93.5,2.6,2.055,4.125,173211,2024-03-15 06:41:21
1710485001,1872,173211,32.0,93.5,2.2,1.4300000000000002,3.96,173211,2024-03-15 06:43:21
1710485121,1872,173211,32.5,93.5,2.6,1.265,4.0600000000000005,173211,2024-03-15 06:45:21
1710485241,1872,173211,32.5,93.5,2.4,1.525,3.73,173211,2024-03-15 06:47:21
1710485361,1872,173211,32.5,93.5,2.8,2.055,4.925,173211,2024-03-15 06:49:21
1710485481,1872,173211,32.0,93.5,2.6,1.925,4.76,173211,2024-03-15 06:51:21
1710485601,1872,173211,32.0,93.5,2.6,1.85,4.195,173211,2024-03-15 06:53:21
1710485721,1872,173211,32.0,93.5,2.9,1.985,4.055,173211,2024-03-15 06:55:21
1710485841,1872,173211,31.5,93.5,2.8,2.04,4.375,173211,2024-03-15 06:57:21
1710485961,1872,173211,31.5,94.0,2.8,2.03,4.535,173211,2024-03-15 06:59:21
1710486081,1872,173211,31.5,93.5,2.9,1.645,4.85,173211,2024-03-15 07:01:21
1710486201,1872,173211,32.0,93.5,2.9,1.865,4.86,173211,2024-03-15 07:03:21
1710486321,1872,173211,31.5,93.5,2.9,1.865,4.495,173211,2024-03-15 07:05:21
1710486445,1872,173211,31.5,93.5,2.6,1.84,4.33,173211,2024-03-15 07:07:25
1710486562,1872,173211,31.5,93.5,2.6,1.575,4.585,173211,2024-03-15 07:09:22
1710486682,1872,173211,31.5,93.5,2.7,1.905,4.84,173211,2024-03-15 07:11:22
1710486801,1872,173211,31.5,93.5,2.5,1.38,3.345,173211,2024-03-15 07:13:21
