time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,id,date_time_utc
1710482463,1872,173213,38.0,91.0,0.9,0.1699999999999999,1.34,173213,2024-03-15 06:01:03
1710482583,1872,173213,38.0,91.5,1.0,0.045,2.03,173213,2024-03-15 06:03:03
1710482703,1872,173213,38.0,91.5,0.8,0.0,0.845,173213,2024-03-15 06:05:03
1710482823,1872,173213,38.0,92.0,0.9,0.155,1.5,173213,2024-03-15 06:07:03
1710482943,1872,173213,37.0,92.0,0.9,0.025,1.295,173213,2024-03-15 06:09:03
1710483063,1872,173213,37.0,92.0,1.1,0.16,1.845,173213,2024-03-15 06:11:03
1710483183,1872,173213,36.0,92.5,1.6,0.74,2.395,173213,2024-03-15 06:13:03
1710483303,1872,173213,36.0,92.5,1.6,0.765,3.0,173213,2024-03-15 06:15:03
1710483423,1872,173213,36.0,93.0,1.6,0.845,2.615,173213,2024-03-15 06:17:03
1710483543,1872,173213,36.0,93.0,2.0,1.2200000000000002,3.285,173213,2024-03-15 06:19:03
1710483663,1872,173213,35.0,93.0,2.2,1.275,3.775,173213,2024-03-15 06:21:03
1710483783,1872,173213,35.0,93.0,2.3,2.04,3.685,173213,2024-03-15 06:23:03
1710483903,1872,173213,35.0,93.0,2.4,1.72,3.265,173213,2024-03-15 06:25:03
1710484023,1872,173213,34.0,93.0,2.1,1.6800000000000002,3.7,173213,2024-03-15 06:27:03
1710484143,1872,173213,34.0,93.5,2.0,1.215,3.35,173213,2024-03-15 06:29:03
1710484263,1872,173213,34.0,93.5,1.9,0.965,2.785,173213,2024-03-15 06:31:03
1710484383,1872,173213,34.0,93.5,1.9,1.13,2.61,173213,2024-03-15 06:33:03
1710484503,1872,173213,33.5,93.5,2.2,1.375,3.61,173213,2024-03-15 06:35:03
1710484623,1872,173213,34.0,93.5,2.0,1.405,3.5500000000000003,173213,2024-03-15 06:37:03
1710484743,1872,173213,34.0,94.0,2.2,1.635,3.71,173213,2024-03-15 06:39:03
1710484863,1872,173213,34.0,94.0,2.5,2.02,4.305,173213,2024-03-15 06:41:03
1710484983,1872,173213,33.0,94.0,2.4,1.535,3.735,173213,2024-03-15 06:43:03
1710485103,1872,173213,33.0,94.0,2.8,1.61,4.425,173213,2024-03-15 06:45:03
1710485223,1872,173213,33.0,94.0,2.4,2.03,4.455,173213,2024-03-15 06:47:03
1710485343,1872,173213,33.0,93.5,2.4,1.93,4.345,173213,2024-03-15 06:49:03
1710485463,1872,173213,33.0,94.0,2.6,1.93,4.565,173213,2024-03-15 06:51:03
1710485583,1872,173213,32.5,94.0,2.7,2.06,4.415,173213,2024-03-15 06:53:03
1710485703,1872,173213,32.0,94.0,2.6,2.14,4.43,173213,2024-03-15 06:55:03
1710485823,1872,173213,32.0,94.0,3.1,2.36,4.6,173213,2024-03-15 06:57:03
1710485943,1872,173213,32.0,94.0,2.9,2.3200000000000003,5.0600000000000005,173213,2024-03-15 06:59:03
1710486063,1872,173213,32.0,94.0,2.5,1.915,4.275,173213,2024-03-15 07:01:03
1710486469,1872,173213,32.0,93.5,4.2,5.53,13.16,173213,2024-03-15 07:07:49
1710486589,1872,173213,32.0,94.0,32.8,64.34,73.08500000000001,173213,2024-03-15 07:09:49
1710486708,1872,173213,32.0,94.0,12.6,17.88,31.04,173213,2024-03-15 07:11:48
1710486829,1872,173213,32.0,93.5,5.8,8.084999999999999,14.675,173213,2024-03-15 07:13:49
1710486949,1872,173213,32.0,93.5,3.8,4.515,9.4,173213,2024-03-15 07:15:49
1710487069,1872,173213,31.0,93.5,2.5,1.45,4.575,173213,2024-03-15 07:17:49
1710487188,1872,173213,31.0,93.5,2.6,1.875,3.695,173213,2024-03-15 07:19:48
1710487308,1872,173213,31.0,93.5,2.3,1.745,4.17,173213,2024-03-15 07:21:48
1710487428,1872,173213,31.0,94.0,2.2,1.4,3.44,173213,2024-03-15 07:23:48
1710487549,1872,173213,30.5,93.5,1.9,1.19,3.68,173213,2024-03-15 07:25:49
1710487668,1872,173213,30.5,93.5,1.7,1.125,2.9850000000000003,173213,2024-03-15 07:27:48
1710487788,1872,173213,30.5,93.5,1.7,1.16,3.105,173213,2024-03-15 07:29:48
1710487908,1872,173213,30.5,93.5,2.0,1.15,3.37,173213,2024-03-15 07:31:48
1710488029,1872,173213,30.5,94.0,1.7,0.97,2.505,173213,2024-03-15 07:33:49
1710488149,1872,173213,30.5,93.5,1.6,0.815,2.12,173213,2024-03-15 07:35:49
1710488269,1872,173213,30.5,93.5,1.6,0.96,2.525,173213,2024-03-15 07:37:49
1710488388,1872,173213,30.5,93.5,1.6,0.745,2.6500000000000004,173213,2024-03-15 07:39:48
1710488509,1872,173213,30.0,93.5,1.7,0.9,3.23,173213,2024-03-15 07:41:49
1710488629,1872,173213,30.0,93.5,1.5,0.905,2.505,173213,2024-03-15 07:43:49
1710488839,1872,173213,30.0,93.5,2.0,0.74,3.515,173213,2024-03-15 07:47:19
1710488959,1872,173213,32.0,94.0,32.2,25.700000000000003,38.045,173213,2024-03-15 07:49:19
1710489079,1872,173213,31.5,94.5,332.8,224.315,363.055,173213,2024-03-15 07:51:19
1710489199,1872,173213,31.0,95.0,335.8,234.555,374.74,173213,2024-03-15 07:53:19
1710489319,1872,173213,32.0,95.0,351.5,238.73,378.88,173213,2024-03-15 07:55:19
1710489439,1872,173213,33.0,95.5,608.5,344.38,700.72,173213,2024-03-15 07:57:19
1710489559,1872,173213,33.0,95.5,558.7,332.125,643.79,173213,2024-03-15 07:59:19
1710489679,1872,173213,33.0,95.5,562.5,331.21000000000004,648.3199999999999,173213,2024-03-15 08:01:19
1710489799,1872,173213,33.5,95.5,605.4,341.695,691.71,173213,2024-03-15 08:03:19
1710489919,1872,173213,30.5,94.5,264.7,135.605,301.78,173213,2024-03-15 08:05:19
1710490039,1872,173213,30.0,93.5,5.8,6.775,9.915,173213,2024-03-15 08:07:19
1710490159,1872,173213,29.5,93.5,6.5,6.93,10.615,173213,2024-03-15 08:09:19
1710490279,1872,173213,30.0,93.5,6.6,7.285,11.345,173213,2024-03-15 08:11:19
1710490399,1872,173213,29.5,93.0,6.2,6.59,10.23,173213,2024-03-15 08:13:19
1710490519,1872,173213,29.5,93.5,5.0,5.305,7.8,173213,2024-03-15 08:15:19
1710490640,1872,173213,29.5,93.5,4.3,4.475,7.115,173213,2024-03-15 08:17:20
1710490759,1872,173213,29.5,93.5,3.6,4.135,6.45,173213,2024-03-15 08:19:19
1710490879,1872,173213,30.0,93.0,4.1,4.035,6.859999999999999,173213,2024-03-15 08:21:19
1710490999,1872,173213,30.0,93.0,3.4,3.37,5.895,173213,2024-03-15 08:23:19
1710491119,1872,173213,30.0,93.0,3.1,2.97,5.145,173213,2024-03-15 08:25:19
1710491239,1872,173213,29.5,93.0,3.2,2.805,5.880000000000001,173213,2024-03-15 08:27:19
1710491359,1872,173213,30.0,92.5,2.5,2.325,4.44,173213,2024-03-15 08:29:19
1710491479,1872,173213,29.5,92.5,2.5,2.075,4.095,173213,2024-03-15 08:31:19
1710491599,1872,173213,29.5,92.5,2.4,2.225,3.685,173213,2024-03-15 08:33:19
1710491719,1872,173213,29.5,92.5,2.3,1.825,4.21,173213,2024-03-15 08:35:19
1710491839,1872,173213,29.5,92.5,2.1,1.57,3.42,173213,2024-03-15 08:37:19
1710491959,1872,173213,29.5,92.5,2.2,1.905,3.91,173213,2024-03-15 08:39:19
1710492079,1872,173213,29.5,92.5,2.6,2.05,4.795,173213,2024-03-15 08:41:19
1710492199,1872,173213,29.5,92.0,2.3,1.87,4.075,173213,2024-03-15 08:43:19
1710492319,1872,173213,29.5,92.5,2.2,1.605,3.635,173213,2024-03-15 08:45:19
1710492440,1872,173213,29.5,92.5,1.8,1.3050000000000002,3.085,173213,2024-03-15 08:47:20
1710492560,1872,173213,29.5,92.5,1.9,1.555,3.36,173213,2024-03-15 08:49:20
1710492680,1872,173213,29.5,92.0,2.3,1.47,3.19,173213,2024-03-15 08:51:20
1710492800,1872,173213,29.5,92.0,1.9,1.385,3.3600000000000003,173213,2024-03-15 08:53:20
1710492921,1872,173213,29.5,92.0,1.9,1.535,3.155,173213,2024-03-15 08:55:21
1710493040,1872,173213,29.5,92.0,1.8,1.21,2.96,173213,2024-03-15 08:57:20
1710493160,1872,173213,29.5,92.0,1.8,1.025,2.775,173213,2024-03-15 08:59:20
1710493280,1872,173213,29.5,92.0,2.0,1.62,3.0700000000000003,173213,2024-03-15 09:01:20
1710493400,1872,173213,29.5,92.0,1.7,1.405,2.915,173213,2024-03-15 09:03:20
1710493520,1872,173213,29.5,92.0,1.7,1.24,3.15,173213,2024-03-15 09:05:20
1710493640,1872,173213,29.5,92.5,1.6,0.88,3.05,173213,2024-03-15 09:07:20
1710493760,1872,173213,29.5,91.5,1.7,0.93,2.585,173213,2024-03-15 09:09:20
1710493880,1872,173213,30.0,91.5,1.8,1.235,2.99,173213,2024-03-15 09:11:20
1710494000,1872,173213,30.0,91.5,1.8,1.045,2.935,173213,2024-03-15 09:13:20
1710494120,1872,173213,30.0,91.5,1.6,1.015,2.64,173213,2024-03-15 09:15:20
1710494240,1872,173213,30.0,91.5,1.6,0.94,2.2350000000000003,173213,2024-03-15 09:17:20
1710494360,1872,173213,30.0,91.5,1.6,1.11,3.28,173213,2024-03-15 09:19:20
1710494480,1872,173213,30.0,91.5,1.6,0.955,2.915,173213,2024-03-15 09:21:20
1710494600,1872,173213,30.0,91.5,1.6,0.8600000000000001,2.48,173213,2024-03-15 09:23:20
1710494720,1872,173213,30.0,91.5,1.7,1.05,2.47,173213,2024-03-15 09:25:20
1710494840,1872,173213,30.0,91.5,1.6,1.2,2.845,173213,2024-03-15 09:27:20
1710494960,1872,173213,30.0,91.5,1.7,0.89,2.215,173213,2024-03-15 09:29:20
1710495080,1872,173213,30.0,92.0,2.0,1.62,3.535,173213,2024-03-15 09:31:20
1710495200,1872,173213,30.5,92.0,3.1,2.635,4.925,173213,2024-03-15 09:33:20
1710495320,1872,173213,31.0,92.0,3.5,3.3150000000000004,6.595,173213,2024-03-15 09:35:20
1710495440,1872,173213,31.0,92.0,3.9,3.63,6.64,173213,2024-03-15 09:37:20
1710495560,1872,173213,31.0,92.0,4.3,3.865,7.23,173213,2024-03-15 09:39:20
1710495680,1872,173213,31.0,92.0,4.4,4.154999999999999,7.395,173213,2024-03-15 09:41:20
1710495800,1872,173213,31.0,92.0,4.4,4.09,8.379999999999999,173213,2024-03-15 09:43:20
1710495920,1872,173213,31.0,92.0,4.4,3.825,8.35,173213,2024-03-15 09:45:20
1710496041,1872,173213,31.0,92.0,4.5,4.095000000000001,8.795,173213,2024-03-15 09:47:21
1710496161,1872,173213,31.0,92.0,4.5,4.05,7.88,173213,2024-03-15 09:49:21
1710496281,1872,173213,31.0,92.0,4.0,3.83,8.495000000000001,173213,2024-03-15 09:51:21
1710496401,1872,173213,31.0,92.0,4.2,3.39,6.59,173213,2024-03-15 09:53:21
1710496521,1872,173213,31.5,92.0,4.4,4.005,8.39,173213,2024-03-15 09:55:21
1710496641,1872,173213,31.0,92.0,4.3,3.965,7.77,173213,2024-03-15 09:57:21
1710496761,1872,173213,31.0,92.0,3.7,3.075,7.0600000000000005,173213,2024-03-15 09:59:21
1710496881,1872,173213,31.0,92.0,3.7,3.0,6.0,173213,2024-03-15 10:01:21
1710497001,1872,173213,31.0,92.0,3.5,2.9,6.775,173213,2024-03-15 10:03:21
1710497121,1872,173213,31.5,92.0,3.6,2.725,5.565,173213,2024-03-15 10:05:21
1710497241,1872,173213,31.5,92.0,3.3,2.235,5.305,173213,2024-03-15 10:07:21
1710497361,1872,173213,32.0,92.0,3.3,2.8600000000000003,5.77,173213,2024-03-15 10:09:21
1710497481,1872,173213,32.0,92.0,3.3,2.76,5.555,173213,2024-03-15 10:11:21
1710497601,1872,173213,32.0,91.5,3.3,2.69,6.495,173213,2024-03-15 10:13:21
1710497721,1872,173213,32.0,91.5,3.3,2.205,5.565,173213,2024-03-15 10:15:21
1710497841,1872,173213,32.0,91.5,3.1,2.205,5.765000000000001,173213,2024-03-15 10:17:21
1710497961,1872,173213,32.0,91.5,2.8,2.025,4.865,173213,2024-03-15 10:19:21
1710498081,1872,173213,32.0,91.5,2.8,2.19,5.135,173213,2024-03-15 10:21:21
1710498201,1872,173213,32.0,91.5,2.3,1.755,4.21,173213,2024-03-15 10:23:21
1710498321,1872,173213,32.0,91.5,2.5,1.43,3.52,173213,2024-03-15 10:25:21
1710498441,1872,173213,32.0,91.5,2.1,1.6,3.61,173213,2024-03-15 10:27:21
