time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,date_time_utc
1712484045,1872,173212,50.0,85.5,5.2,6.365,9.485,2024-04-07 10:00:45+00:00
1712484165,1872,173212,49.0,85.5,5.1,6.18,8.945,2024-04-07 10:02:45+00:00
1712484285,1872,173212,49.0,86.0,5.1,6.475,8.885,2024-04-07 10:04:45+00:00
1712484405,1872,173212,48.0,86.0,5.5,6.68,9.845,2024-04-07 10:06:45+00:00
1712484525,1872,173212,48.0,86.5,5.3,6.405,9.46,2024-04-07 10:08:45+00:00
1712484645,1872,173212,48.0,86.5,4.9,6.095,9.465,2024-04-07 10:10:45+00:00
1712484765,1872,173212,47.0,86.5,5.0,6.425,8.715,2024-04-07 10:12:45+00:00
1712484885,1872,173212,47.0,87.0,5.1,6.485,8.93,2024-04-07 10:14:45+00:00
1712485005,1872,173212,47.0,87.0,5.3,6.44,9.285,2024-04-07 10:16:45+00:00
1712485125,1872,173212,47.0,87.5,5.0,6.23,9.065,2024-04-07 10:18:45+00:00
1712485245,1872,173212,46.5,87.5,5.0,5.99,8.135,2024-04-07 10:20:45+00:00
1712485365,1872,173212,46.0,87.5,5.1,6.395,8.985,2024-04-07 10:22:45+00:00
1712485485,1872,173212,46.0,87.5,5.1,6.12,8.575,2024-04-07 10:24:45+00:00
1712485605,1872,173212,46.0,87.5,4.9,5.985,9.05,2024-04-07 10:26:45+00:00
1712485725,1872,173212,46.0,88.0,5.2,6.05,9.015,2024-04-07 10:28:45+00:00
1712485845,1872,173212,45.5,88.0,4.7,6.015,8.535,2024-04-07 10:30:45+00:00
1712485965,1872,173212,45.0,88.5,4.8,5.65,8.33,2024-04-07 10:32:45+00:00
1712486085,1872,173212,44.5,89.0,4.6,5.82,8.325,2024-04-07 10:34:45+00:00
1712488234,1872,173212,40.5,93.0,9.2,11.735,22.875,2024-04-07 11:10:34+00:00
1712488354,1872,173212,40.5,93.0,4.5,5.88,15.26,2024-04-07 11:12:34+00:00
1712488474,1872,173212,40.5,93.0,4.5,4.915,11.685,2024-04-07 11:14:34+00:00
1712488594,1872,173212,41.0,93.0,3.7,4.67,15.775,2024-04-07 11:16:34+00:00
1712488714,1872,173212,40.5,93.0,11.5,16.51,29.625,2024-04-07 11:18:34+00:00
1712488834,1872,173212,40.5,93.5,55.9,71.69,85.57,2024-04-07 11:20:34+00:00
1712488954,1872,173212,40.5,93.5,12.4,13.96,21.47,2024-04-07 11:22:34+00:00
1712489074,1872,173212,40.5,93.5,14.8,18.855,32.07,2024-04-07 11:24:34+00:00
1712489194,1872,173212,40.0,94.0,4.6,6.505,23.975,2024-04-07 11:26:34+00:00
1712489314,1872,173212,39.5,94.0,11.6,17.145,28.835,2024-04-07 11:28:34+00:00
1712489434,1872,173212,39.5,94.0,24.3,30.74,43.345,2024-04-07 11:30:34+00:00
1712489554,1872,173212,39.5,94.0,33.8,41.13,53.34,2024-04-07 11:32:34+00:00
1712489674,1872,173212,39.5,94.0,29.6,40.725,50.47,2024-04-07 11:34:34+00:00
1712489794,1872,173212,39.0,94.5,26.1,42.92,52.8,2024-04-07 11:36:34+00:00
1712489914,1872,173212,38.5,94.5,74.9,112.485,122.69,2024-04-07 11:38:34+00:00
