time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,date_time_utc
1712484010,1872,173210,42.0,88.5,4.2,5.765,8.29,2024-04-07 10:00:10+00:00
1712484130,1872,173210,42.0,88.5,4.4,5.85,8.635,2024-04-07 10:02:10+00:00
1712484250,1872,173210,42.5,88.5,4.6,5.85,8.13,2024-04-07 10:04:10+00:00
1712484370,1872,173210,42.5,88.5,4.6,5.85,8.31,2024-04-07 10:06:10+00:00
1712484490,1872,173210,42.5,88.5,4.7,5.795,9.135,2024-04-07 10:08:10+00:00
1712484610,1872,173210,42.5,88.5,4.4,5.545,7.94,2024-04-07 10:10:10+00:00
1712484730,1872,173210,42.5,88.5,4.2,5.99,7.995,2024-04-07 10:12:10+00:00
1712484850,1872,173210,42.5,88.5,4.4,6.12,8.09,2024-04-07 10:14:10+00:00
1712484970,1872,173210,42.0,88.5,4.4,5.795,7.68,2024-04-07 10:16:10+00:00
1712485090,1872,173210,42.5,88.5,4.3,5.73,7.475,2024-04-07 10:18:10+00:00
1712485210,1872,173210,42.5,88.5,4.4,5.64,7.85,2024-04-07 10:20:10+00:00
1712485330,1872,173210,42.5,88.5,4.1,5.89,7.485,2024-04-07 10:22:10+00:00
1712485450,1872,173210,42.5,88.5,4.1,5.31,7.25,2024-04-07 10:24:10+00:00
1712485570,1872,173210,42.5,88.5,4.2,5.755,7.94,2024-04-07 10:26:10+00:00
1712485690,1872,173210,42.5,88.5,4.2,5.835,8.02,2024-04-07 10:28:10+00:00
1712485810,1872,173210,42.0,88.5,4.3,6.155,8.285,2024-04-07 10:30:10+00:00
1712485930,1872,173210,42.0,89.5,4.2,5.32,7.64,2024-04-07 10:32:10+00:00
1712486051,1872,173210,41.5,89.5,4.2,5.63,7.69,2024-04-07 10:34:11+00:00
1712486170,1872,173210,41.0,90.5,4.0,5.29,7.615,2024-04-07 10:36:10+00:00
1712486290,1872,173210,41.0,90.5,4.0,4.915,7.18,2024-04-07 10:38:10+00:00
1712488211,1872,173210,38.0,93.5,3.8,4.83,7.05,2024-04-07 11:10:11+00:00
1712488331,1872,173210,38.0,93.5,3.7,5.15,6.74,2024-04-07 11:12:11+00:00
1712488451,1872,173210,38.0,93.5,3.7,5.015,6.65,2024-04-07 11:14:11+00:00
1712488571,1872,173210,38.5,93.5,3.7,4.94,6.8,2024-04-07 11:16:11+00:00
1712488691,1872,173210,38.5,93.5,3.7,4.595,6.19,2024-04-07 11:18:11+00:00
1712488811,1872,173210,38.5,93.5,4.0,4.745,7.01,2024-04-07 11:20:11+00:00
1712488931,1872,173210,38.5,93.5,3.4,4.44,5.99,2024-04-07 11:22:11+00:00
1712489051,1872,173210,38.0,93.5,3.5,4.63,6.455,2024-04-07 11:24:11+00:00
1712489171,1872,173210,38.0,94.5,3.5,4.49,5.645,2024-04-07 11:26:11+00:00
1712489291,1872,173210,37.5,94.5,3.6,4.27,5.91,2024-04-07 11:28:11+00:00
1712489411,1872,173210,37.5,94.5,3.4,4.3,5.61,2024-04-07 11:30:11+00:00
1712489531,1872,173210,37.5,94.5,3.5,4.23,6.085,2024-04-07 11:32:11+00:00
1712489651,1872,173210,37.0,94.5,3.4,4.04,5.995,2024-04-07 11:34:11+00:00
1712489771,1872,173210,37.0,94.5,3.3,4.225,5.36,2024-04-07 11:36:11+00:00
1712489891,1872,173210,36.5,94.5,3.3,4.23,5.52,2024-04-07 11:38:11+00:00
