time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,date_time_utc
1712484090,1872,173213,43.0,88.5,4.6,6.08,8.14,2024-04-07 10:01:30+00:00
1712484210,1872,173213,43.0,88.5,4.9,5.775,8.285,2024-04-07 10:03:30+00:00
1712484330,1872,173213,43.0,88.5,4.6,6.17,8.21,2024-04-07 10:05:30+00:00
1712484450,1872,173213,43.0,88.5,4.2,6.02,7.73,2024-04-07 10:07:30+00:00
1712484570,1872,173213,43.0,88.5,4.5,6.035,8.055,2024-04-07 10:09:30+00:00
1712484691,1872,173213,43.0,88.5,4.5,5.93,7.655,2024-04-07 10:11:31+00:00
1712484810,1872,173213,43.0,88.5,4.2,5.775,8.035,2024-04-07 10:13:30+00:00
1712484931,1872,173213,43.0,88.5,4.4,6.19,8.19,2024-04-07 10:15:31+00:00
1712485050,1872,173213,43.0,88.5,4.4,6.005,7.84,2024-04-07 10:17:30+00:00
1712485170,1872,173213,43.0,88.5,4.2,5.4,7.86,2024-04-07 10:19:30+00:00
1712485290,1872,173213,43.0,88.5,4.5,6.105,8.335,2024-04-07 10:21:30+00:00
1712485410,1872,173213,43.0,88.5,4.4,5.82,7.455,2024-04-07 10:23:30+00:00
1712485530,1872,173213,43.0,88.5,4.4,6.21,8.145,2024-04-07 10:25:30+00:00
1712485650,1872,173213,43.0,88.5,4.2,5.81,7.575,2024-04-07 10:27:30+00:00
1712485770,1872,173213,43.0,88.5,4.6,6.32,8.365,2024-04-07 10:29:30+00:00
1712485890,1872,173213,38.0,97.5,4.2,5.425,7.485,2024-04-07 10:31:30+00:00
1712486010,1872,173213,27.0,107.0,3.7,4.21,5.99,2024-04-07 10:33:30+00:00
1712486131,1872,173213,24.0,110.0,3.8,4.285,5.955,2024-04-07 10:35:31+00:00
1712486251,1872,173213,22.0,112.5,3.9,4.595,6.205,2024-04-07 10:37:31+00:00
1712486371,1872,173213,25.0,108.5,4.2,5.0,6.785,2024-04-07 10:39:31+00:00
1712488212,1872,173213,25.5,108.0,5.8,5.55,13.1,2024-04-07 11:10:12+00:00
1712488332,1872,173213,26.0,104.5,82.0,162.825,175.815,2024-04-07 11:12:12+00:00
1712488452,1872,173213,27.5,102.5,25.2,53.37,58.855,2024-04-07 11:14:12+00:00
1712488572,1872,173213,26.5,107.0,11.4,17.105,21.595,2024-04-07 11:16:12+00:00
1712488692,1872,173213,25.0,109.0,5.2,3.995,7.345,2024-04-07 11:18:12+00:00
1712488812,1872,173213,24.0,110.0,4.6,3.595,6.225,2024-04-07 11:20:12+00:00
1712488932,1872,173213,24.0,110.5,5.1,3.73,6.495,2024-04-07 11:22:12+00:00
1712489052,1872,173213,23.0,111.0,4.6,3.545,5.89,2024-04-07 11:24:12+00:00
1712489172,1872,173213,23.0,111.5,4.4,2.995,5.455,2024-04-07 11:26:12+00:00
1712489292,1872,173213,22.5,112.0,3.4,4.4,10.98,2024-04-07 11:28:12+00:00
1712489412,1872,173213,22.0,112.5,3.4,4.165,9.09,2024-04-07 11:30:12+00:00
1712489532,1872,173213,22.0,112.5,4.0,5.24,13.11,2024-04-07 11:32:12+00:00
1712489652,1872,173213,22.0,112.5,3.0,3.51,8.435,2024-04-07 11:34:12+00:00
1712489773,1872,173213,22.0,113.0,2.8,3.5,8.105,2024-04-07 11:36:13+00:00
1712489892,1872,173213,21.5,113.0,2.8,3.835,10.11,2024-04-07 11:38:12+00:00
