time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,id,date_time_utc
1710126107,1872,173212,40.0,90.5,1.0,0.155,2.015,173212,2024-03-11 03:01:47
1710126227,1872,173212,39.0,90.5,1.0,0.105,1.58,173212,2024-03-11 03:03:47
1710126347,1872,173212,39.5,91.0,1.0,0.025,1.53,173212,2024-03-11 03:05:47
1710126467,1872,173212,38.5,91.5,0.9,0.095,1.12,173212,2024-03-11 03:07:47
1710126587,1872,173212,38.0,91.5,0.9,0.025,1.245,173212,2024-03-11 03:09:47
1710126707,1872,173212,38.0,92.0,0.8,0.045,1.015,173212,2024-03-11 03:11:47
1710126827,1872,173212,37.0,92.0,1.0,0.055,1.66,173212,2024-03-11 03:13:47
1710126947,1872,173212,36.5,92.5,1.0,0.045,2.105,173212,2024-03-11 03:15:47
1710127067,1872,173212,36.0,92.5,0.9,0.0,2.055,173212,2024-03-11 03:17:47
1710127187,1872,173212,35.0,92.5,0.8,0.0,1.235,173212,2024-03-11 03:19:47
1710127307,1872,173212,35.0,92.5,0.7,0.025,1.185,173212,2024-03-11 03:21:47
1710127427,1872,173212,35.0,93.0,0.8,0.0,1.23,173212,2024-03-11 03:23:47
1710127547,1872,173212,35.0,93.0,0.8,0.025,1.315,173212,2024-03-11 03:25:47
1710127667,1872,173212,35.0,93.0,0.9,0.08,1.51,173212,2024-03-11 03:27:47
1710127787,1872,173212,34.5,93.0,0.8,0.0,1.62,173212,2024-03-11 03:29:47
1710127907,1872,173212,34.5,93.0,0.9,0.015,1.935,173212,2024-03-11 03:31:47
1710128027,1872,173212,33.5,93.0,0.9,0.025,1.515,173212,2024-03-11 03:33:47
1710128147,1872,173212,33.0,93.0,0.7,0.0,1.205,173212,2024-03-11 03:35:47
1710128267,1872,173212,33.0,93.0,0.8,0.0,1.4449999999999998,173212,2024-03-11 03:37:47
1710128387,1872,173212,32.5,93.0,0.7,0.0,1.105,173212,2024-03-11 03:39:47
1710128507,1872,173212,32.5,93.5,0.8,0.085,1.21,173212,2024-03-11 03:41:47
1710128627,1872,173212,32.0,93.5,0.7,0.0,0.995,173212,2024-03-11 03:43:47
1710128747,1872,173212,31.5,93.5,0.8,0.17,1.36,173212,2024-03-11 03:45:47
1710128867,1872,173212,31.5,93.0,0.6,0.0,0.98,173212,2024-03-11 03:47:47
1710128987,1872,173212,31.5,93.5,0.7,0.0,0.855,173212,2024-03-11 03:49:47
1710129108,1872,173212,31.5,94.0,0.7,0.0,0.885,173212,2024-03-11 03:51:48
1710129228,1872,173212,32.5,93.0,0.6,0.0,1.01,173212,2024-03-11 03:53:48
1710129348,1872,173212,32.5,93.5,0.6,0.0,1.005,173212,2024-03-11 03:55:48
1710129468,1872,173212,32.5,93.5,0.8,0.0,1.44,173212,2024-03-11 03:57:48
1710129588,1872,173212,32.5,93.5,0.7,0.0,1.045,173212,2024-03-11 03:59:48
1710129708,1872,173212,32.5,93.5,0.9,0.07,1.105,173212,2024-03-11 04:01:48
1710129828,1872,173212,32.5,93.5,0.9,0.0,1.505,173212,2024-03-11 04:03:48
1710129948,1872,173212,33.0,93.5,0.9,0.0,1.43,173212,2024-03-11 04:05:48
1710130068,1872,173212,33.0,93.5,0.8,0.0,2.2,173212,2024-03-11 04:07:48
1710130188,1872,173212,33.5,93.5,0.7,0.0,0.9,173212,2024-03-11 04:09:48
1710130308,1872,173212,33.5,93.5,0.8,0.045,1.875,173212,2024-03-11 04:11:48
1710130428,1872,173212,33.5,93.5,0.9,0.0,1.93,173212,2024-03-11 04:13:48
1710130548,1872,173212,33.5,93.5,0.8,0.0,1.315,173212,2024-03-11 04:15:48
1710130668,1872,173212,33.5,93.5,0.9,0.0,1.41,173212,2024-03-11 04:17:48
1710130788,1872,173212,34.0,93.5,0.8,0.055,1.81,173212,2024-03-11 04:19:48
1710130908,1872,173212,34.0,93.5,0.9,0.0,2.105,173212,2024-03-11 04:21:48
1710131028,1872,173212,34.0,93.5,0.9,0.07,1.58,173212,2024-03-11 04:23:48
1710131148,1872,173212,34.0,93.5,0.9,0.11,2.1950000000000003,173212,2024-03-11 04:25:48
1710131268,1872,173212,34.0,93.5,0.9,0.01,2.805,173212,2024-03-11 04:27:48
1710131388,1872,173212,34.0,93.5,1.0,0.045,1.685,173212,2024-03-11 04:29:48
1710131508,1872,173212,34.0,93.5,0.8,0.0,2.1,173212,2024-03-11 04:31:48
1710131628,1872,173212,34.5,93.5,1.0,0.045,1.5550000000000002,173212,2024-03-11 04:33:48
1710131748,1872,173212,34.5,93.5,1.0,0.215,1.765,173212,2024-03-11 04:35:48
1710131868,1872,173212,34.0,93.0,1.1,0.17,1.99,173212,2024-03-11 04:37:48
1710131988,1872,173212,34.0,93.5,0.7,0.0,1.195,173212,2024-03-11 04:39:48
1710132108,1872,173212,34.0,93.5,0.9,0.015,1.585,173212,2024-03-11 04:41:48
1710132228,1872,173212,34.0,93.5,0.8,0.0,1.29,173212,2024-03-11 04:43:48
1710132348,1872,173212,34.0,93.5,0.9,0.0,1.68,173212,2024-03-11 04:45:48
1710132468,1872,173212,34.0,93.5,0.8,0.085,1.815,173212,2024-03-11 04:47:48
1710132588,1872,173212,34.0,93.5,0.7,0.035,1.48,173212,2024-03-11 04:49:48
1710132708,1872,173212,33.5,93.5,0.9,0.05,1.805,173212,2024-03-11 04:51:48
1710132828,1872,173212,33.5,93.0,0.7,0.0,1.295,173212,2024-03-11 04:53:48
1710132949,1872,173212,33.5,93.5,0.8,0.0,1.725,173212,2024-03-11 04:55:49
1710133068,1872,173212,33.5,93.5,0.8,0.0,1.135,173212,2024-03-11 04:57:48
1710133188,1872,173212,33.0,93.5,0.8,0.045,1.26,173212,2024-03-11 04:59:48
1710133308,1872,173212,33.0,93.5,1.0,0.07,2.28,173212,2024-03-11 05:01:48
1710133429,1872,173212,33.0,93.5,0.8,0.0,1.5950000000000002,173212,2024-03-11 05:03:49
1710133548,1872,173212,33.0,93.5,1.0,0.0,1.56,173212,2024-03-11 05:05:48
1710133668,1872,173212,33.5,93.5,0.8,0.045,1.915,173212,2024-03-11 05:07:48
1710133789,1872,173212,33.0,93.5,0.8,0.0,1.96,173212,2024-03-11 05:09:49
