time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,id,date_time_utc
1710126176,1872,173213,41.0,88.0,4.6,6.625,12.325,173213,2024-03-11 03:02:56
1710126270,1872,173213,41.0,88.0,2.8,2.24,6.949999999999999,173213,2024-03-11 03:04:30
1710126384,1872,173213,41.0,88.5,2.5,0.93,6.140000000000001,173213,2024-03-11 03:06:24
1710126475,1872,173213,39.5,90.0,2.9,2.43,7.135,173213,2024-03-11 03:07:55
1710126595,1872,173213,38.0,91.0,2.5,0.635,7.505000000000001,173213,2024-03-11 03:09:55
1710126715,1872,173213,37.5,91.0,2.9,2.905,7.955,173213,2024-03-11 03:11:55
1710126835,1872,173213,37.5,91.0,2.2,0.435,5.09,173213,2024-03-11 03:13:55
1710126955,1872,173213,37.0,91.0,1.9,0.44,4.775,173213,2024-03-11 03:15:55
1710127075,1872,173213,36.0,91.0,4.3,3.98,10.245,173213,2024-03-11 03:17:55
1710127195,1872,173213,36.0,91.0,2.8,2.57,7.37,173213,2024-03-11 03:19:55
1710127315,1872,173213,36.0,91.5,4.0,3.3600000000000003,10.64,173213,2024-03-11 03:21:55
1710127435,1872,173213,35.0,91.5,2.6,1.445,6.125,173213,2024-03-11 03:23:55
1710127555,1872,173213,35.5,91.5,2.5,1.91,6.619999999999999,173213,2024-03-11 03:25:55
1710127675,1872,173213,35.0,92.0,3.3,2.41,9.455,173213,2024-03-11 03:27:55
1710127795,1872,173213,34.5,92.0,3.1,1.485,8.125,173213,2024-03-11 03:29:55
1710127915,1872,173213,35.0,92.0,3.4,3.2350000000000003,8.71,173213,2024-03-11 03:31:55
1710128035,1872,173213,34.0,92.0,4.5,5.725,10.79,173213,2024-03-11 03:33:55
1710128155,1872,173213,33.0,92.0,2.5,1.57,6.35,173213,2024-03-11 03:35:55
1710128275,1872,173213,33.0,92.0,2.0,0.235,4.765000000000001,173213,2024-03-11 03:37:55
1710128395,1872,173213,32.5,92.0,1.7,0.0,3.275,173213,2024-03-11 03:39:55
1710128515,1872,173213,32.5,92.0,2.8,2.02,6.565,173213,2024-03-11 03:41:55
1710128635,1872,173213,32.0,92.0,2.6,2.07,6.765000000000001,173213,2024-03-11 03:43:55
1710128755,1872,173213,31.5,92.0,4.4,6.615,13.29,173213,2024-03-11 03:45:55
1710128875,1872,173213,31.5,92.0,2.8,2.635,7.27,173213,2024-03-11 03:47:55
1710128994,1872,173213,31.5,93.0,3.3,4.574999999999999,9.305,173213,2024-03-11 03:49:54
1710129115,1872,173213,32.5,92.0,3.8,6.035,11.95,173213,2024-03-11 03:51:55
1710129272,1872,173213,33.0,91.0,5.8,8.495,15.025,173213,2024-03-11 03:54:32
1710129422,1872,173213,33.5,90.5,2.7,2.715,10.6,173213,2024-03-11 03:57:02
1710129555,1872,173213,34.0,90.0,3.6,6.140000000000001,11.61,173213,2024-03-11 03:59:15
1710129649,1872,173213,34.5,90.0,2.4,1.675,8.754999999999999,173213,2024-03-11 04:00:49
1710129727,1872,173213,33.5,92.0,3.4,3.225,11.07,173213,2024-03-11 04:02:07
1710129846,1872,173213,33.0,92.5,4.1,5.3,10.75,173213,2024-03-11 04:04:06
1710129967,1872,173213,33.5,92.0,3.7,5.615,11.845,173213,2024-03-11 04:06:07
1710130094,1872,173213,33.5,92.5,2.6,2.485,7.619999999999999,173213,2024-03-11 04:08:14
1710130250,1872,173213,34.0,91.0,4.5,6.305000000000001,13.55,173213,2024-03-11 04:10:50
1710130327,1872,173213,34.0,92.0,7.5,12.33,22.265,173213,2024-03-11 04:12:07
1710130446,1872,173213,33.5,93.0,8.7,15.595,24.435,173213,2024-03-11 04:14:06
1710130566,1872,173213,33.0,93.0,3.8,6.01,11.345,173213,2024-03-11 04:16:06
1710130686,1872,173213,33.0,93.0,5.8,9.475,17.28,173213,2024-03-11 04:18:06
1710130806,1872,173213,33.0,93.0,6.4,11.555,19.4,173213,2024-03-11 04:20:06
1710130926,1872,173213,33.5,93.0,7.8,12.985,19.585,173213,2024-03-11 04:22:06
1710131046,1872,173213,33.5,93.0,5.7,7.955,13.92,173213,2024-03-11 04:24:06
1710131166,1872,173213,33.5,93.0,5.7,9.42,16.89,173213,2024-03-11 04:26:06
1710131286,1872,173213,33.5,93.0,5.6,7.245,13.335,173213,2024-03-11 04:28:06
1710131406,1872,173213,33.5,93.0,6.7,8.06,14.66,173213,2024-03-11 04:30:06
1710131526,1872,173213,33.5,93.0,7.1,7.835000000000001,14.66,173213,2024-03-11 04:32:06
1710131646,1872,173213,33.5,93.0,4.4,5.205,11.11,173213,2024-03-11 04:34:06
1710131766,1872,173213,33.5,93.0,6.7,8.865,17.745,173213,2024-03-11 04:36:06
1710131886,1872,173213,33.5,93.0,6.4,9.195,15.96,173213,2024-03-11 04:38:06
1710132006,1872,173213,33.5,93.0,6.5,8.885,14.43,173213,2024-03-11 04:40:06
1710132126,1872,173213,33.5,93.0,7.0,9.385,15.99,173213,2024-03-11 04:42:06
1710132246,1872,173213,33.5,93.0,6.9,11.365,18.025,173213,2024-03-11 04:44:06
1710132366,1872,173213,33.5,93.0,5.9,6.824999999999999,14.165,173213,2024-03-11 04:46:06
1710132486,1872,173213,33.5,93.0,7.6,11.28,18.93,173213,2024-03-11 04:48:06
1710132606,1872,173213,33.5,93.0,7.4,11.685,18.545,173213,2024-03-11 04:50:06
1710132726,1872,173213,33.0,93.0,6.8,11.375,17.875,173213,2024-03-11 04:52:06
1710132846,1872,173213,33.0,93.0,5.4,5.3100000000000005,11.865,173213,2024-03-11 04:54:06
1710132967,1872,173213,32.5,93.0,7.3,9.72,17.035,173213,2024-03-11 04:56:07
1710133087,1872,173213,32.5,93.0,9.1,13.920000000000002,19.615,173213,2024-03-11 04:58:07
1710133207,1872,173213,32.0,93.0,11.1,17.6,23.98,173213,2024-03-11 05:00:07
1710133327,1872,173213,32.5,93.0,7.7,11.155,19.935,173213,2024-03-11 05:02:07
1710133447,1872,173213,32.0,93.5,6.9,8.03,13.614999999999998,173213,2024-03-11 05:04:07
1710133567,1872,173213,32.0,93.5,7.7,12.165,20.475,173213,2024-03-11 05:06:07
1710133687,1872,173213,32.0,93.5,2.3,2.495,11.28,173213,2024-03-11 05:08:07
1710133807,1872,173213,32.0,93.5,2.0,1.785,9.04,173213,2024-03-11 05:10:07
1710133927,1872,173213,32.0,94.0,2.0,1.705,9.53,173213,2024-03-11 05:12:07
1710134047,1872,173213,32.0,94.0,1.2,0.6950000000000001,8.885,173213,2024-03-11 05:14:07
1710134167,1872,173213,32.0,94.0,1.3,0.8300000000000001,9.99,173213,2024-03-11 05:16:07
1710134287,1872,173213,32.0,94.0,1.5,0.8,9.485,173213,2024-03-11 05:18:07
1710134407,1872,173213,32.0,94.0,1.5,1.43,6.695,173213,2024-03-11 05:20:07
1710134527,1872,173213,32.0,94.0,1.5,0.745,9.78,173213,2024-03-11 05:22:07
1710134647,1872,173213,32.0,94.0,1.5,1.21,8.715,173213,2024-03-11 05:24:07
1710134767,1872,173213,32.0,94.0,2.0,1.645,11.575,173213,2024-03-11 05:26:07
1710134887,1872,173213,31.0,94.0,1.2,0.7,7.845,173213,2024-03-11 05:28:07
1710135007,1872,173213,31.0,94.0,1.3,0.775,8.75,173213,2024-03-11 05:30:07
1710135127,1872,173213,31.0,94.0,1.6,1.02,10.365,173213,2024-03-11 05:32:07
1710135247,1872,173213,31.0,94.5,1.4,1.2,8.805,173213,2024-03-11 05:34:07
1710135367,1872,173213,31.0,94.0,1.7,1.23,11.69,173213,2024-03-11 05:36:07
1710135487,1872,173213,31.0,94.0,2.0,2.035,12.985,173213,2024-03-11 05:38:07
1710135607,1872,173213,30.0,94.0,1.6,0.95,9.525,173213,2024-03-11 05:40:07
1710135727,1872,173213,30.0,94.0,1.4,1.235,8.485,173213,2024-03-11 05:42:07
1710135847,1872,173213,30.0,94.0,1.9,1.33,9.97,173213,2024-03-11 05:44:07
1710135967,1872,173213,30.0,94.0,2.1,1.985,10.705,173213,2024-03-11 05:46:07
1710136087,1872,173213,30.0,94.0,1.2,0.895,7.59,173213,2024-03-11 05:48:07
1710136207,1872,173213,30.0,94.0,1.4,0.87,8.015,173213,2024-03-11 05:50:07
1710136327,1872,173213,30.0,94.0,1.4,0.985,8.31,173213,2024-03-11 05:52:07
1710136447,1872,173213,30.0,94.0,2.5,2.14,10.395,173213,2024-03-11 05:54:07
1710136567,1872,173213,30.0,94.0,1.7,2.0,8.02,173213,2024-03-11 05:56:07
1710136687,1872,173213,31.0,94.0,1.6,1.5499999999999998,8.915,173213,2024-03-11 05:58:07
1710136807,1872,173213,30.5,94.0,1.1,0.595,7.605,173213,2024-03-11 06:00:07
1710136927,1872,173213,31.0,94.0,1.9,1.24,9.085,173213,2024-03-11 06:02:07
1710137047,1872,173213,31.0,94.0,1.3,0.85,9.15,173213,2024-03-11 06:04:07
1710137167,1872,173213,31.0,94.0,2.8,1.64,6.805,173213,2024-03-11 06:06:07
1710137287,1872,173213,31.0,94.0,2.8,0.125,4.03,173213,2024-03-11 06:08:07
1710137407,1872,173213,31.0,94.0,2.6,0.04,3.24,173213,2024-03-11 06:10:07
1710137527,1872,173213,31.0,94.0,2.7,0.085,3.06,173213,2024-03-11 06:12:07
1710137648,1872,173213,31.0,94.0,2.9,0.19,4.35,173213,2024-03-11 06:14:08
1710137767,1872,173213,32.0,93.5,2.9,0.07,4.03,173213,2024-03-11 06:16:07
1710137887,1872,173213,31.5,94.0,3.0,0.215,3.505,173213,2024-03-11 06:18:07
1710138007,1872,173213,31.5,94.0,2.7,0.12,3.28,173213,2024-03-11 06:20:07
1710138127,1872,173213,32.0,94.0,2.8,0.015,3.275,173213,2024-03-11 06:22:07
1710138247,1872,173213,31.5,94.0,2.9,0.04,3.19,173213,2024-03-11 06:24:07
1710138367,1872,173213,31.5,93.5,3.1,0.125,4.470000000000001,173213,2024-03-11 06:26:07
