time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,date_time_utc
1712498486,1872,173213,41.5,88.5,2.5,2.995,4.035,2024-04-07 14:01:26+00:00
1712498606,1872,173213,41.5,88.5,2.8,3.34,4.82,2024-04-07 14:03:26+00:00
1712498726,1872,173213,41.5,88.5,2.7,3.515,4.825,2024-04-07 14:05:26+00:00
1712498847,1872,173213,42.0,88.5,2.6,3.045,3.985,2024-04-07 14:07:27+00:00
1712498966,1872,173213,41.5,88.5,2.7,3.585,4.57,2024-04-07 14:09:26+00:00
1712499086,1872,173213,42.0,88.5,2.7,3.12,4.285,2024-04-07 14:11:26+00:00
1712499206,1872,173213,42.0,88.5,2.5,3.33,4.345,2024-04-07 14:13:26+00:00
1712499326,1872,173213,42.0,88.5,2.8,3.175,4.375,2024-04-07 14:15:26+00:00
1712499446,1872,173213,42.0,88.5,2.7,3.2,4.225,2024-04-07 14:17:26+00:00
1712499566,1872,173213,42.0,88.5,2.5,3.19,4.48,2024-04-07 14:19:26+00:00
1712499686,1872,173213,42.0,88.5,2.4,3.06,3.855,2024-04-07 14:21:26+00:00
1712499806,1872,173213,42.0,88.5,2.3,3.06,3.965,2024-04-07 14:23:26+00:00
1712499926,1872,173213,42.5,88.5,2.5,3.065,4.27,2024-04-07 14:25:26+00:00
1712500047,1872,173213,42.5,88.5,2.4,2.905,3.98,2024-04-07 14:27:27+00:00
1712500166,1872,173213,42.5,88.5,2.4,2.905,3.785,2024-04-07 14:29:26+00:00
1712500287,1872,173213,42.5,88.5,2.3,2.76,3.695,2024-04-07 14:31:27+00:00
1712500407,1872,173213,42.5,88.5,2.3,2.89,4.03,2024-04-07 14:33:27+00:00
1712500526,1872,173213,42.5,88.5,2.1,2.86,3.88,2024-04-07 14:35:26+00:00
1712500647,1872,173213,42.5,88.5,2.3,2.64,3.58,2024-04-07 14:37:27+00:00
1712500766,1872,173213,43.0,88.5,2.2,2.455,3.32,2024-04-07 14:39:26+00:00
1712500887,1872,173213,42.5,88.5,2.4,2.84,3.85,2024-04-07 14:41:27+00:00
1712501006,1872,173213,42.5,88.5,2.1,2.7,3.935,2024-04-07 14:43:26+00:00
1712501126,1872,173213,43.0,88.5,2.2,2.66,3.18,2024-04-07 14:45:26+00:00
1712501246,1872,173213,43.0,88.5,2.2,2.655,3.4,2024-04-07 14:47:26+00:00
1712501379,1872,173213,42.5,88.5,2.1,2.59,3.505,2024-04-07 14:49:39+00:00
1712501499,1872,173213,43.0,88.5,2.2,2.81,3.795,2024-04-07 14:51:39+00:00
1712501619,1872,173213,43.0,88.5,2.2,2.475,3.535,2024-04-07 14:53:39+00:00
1712501739,1872,173213,43.0,88.5,2.1,2.705,3.225,2024-04-07 14:55:39+00:00
1712501859,1872,173213,43.0,88.5,2.3,2.645,3.575,2024-04-07 14:57:39+00:00
1712501979,1872,173213,43.0,88.5,2.0,2.48,3.115,2024-04-07 14:59:39+00:00
1712502099,1872,173213,43.0,88.5,1.7,2.145,2.93,2024-04-07 15:01:39+00:00
1712502219,1872,173213,43.0,88.5,2.1,2.675,3.475,2024-04-07 15:03:39+00:00
1712502339,1872,173213,43.0,88.5,2.1,2.37,3.1,2024-04-07 15:05:39+00:00
1712502459,1872,173213,43.0,88.5,2.0,2.38,3.14,2024-04-07 15:07:39+00:00
1712502579,1872,173213,43.0,88.5,2.0,2.455,3.665,2024-04-07 15:09:39+00:00
1712502699,1872,173213,43.0,88.5,2.0,2.46,3.335,2024-04-07 15:11:39+00:00
1712502819,1872,173213,43.0,88.5,1.9,2.34,2.94,2024-04-07 15:13:39+00:00
1712502939,1872,173213,43.0,88.5,1.9,2.3,3.295,2024-04-07 15:15:39+00:00
1712503059,1872,173213,43.0,88.0,1.9,2.2,2.975,2024-04-07 15:17:39+00:00
1712503179,1872,173213,43.0,88.5,2.1,2.41,3.1,2024-04-07 15:19:39+00:00
1712503299,1872,173213,42.5,90.5,1.9,2.155,2.77,2024-04-07 15:21:39+00:00
1712503419,1872,173213,38.5,94.0,1.7,1.325,2.28,2024-04-07 15:23:39+00:00
1712503539,1872,173213,34.5,97.0,1.7,1.395,2.075,2024-04-07 15:25:39+00:00
1712503659,1872,173213,32.0,100.0,1.7,1.23,2.025,2024-04-07 15:27:39+00:00
