time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,date_time_utc
1712498408,1872,173211,42.5,88.5,3.0,3.43,4.79,2024-04-07 14:00:08+00:00
1712498528,1872,173211,43.0,88.5,2.8,3.365,5.21,2024-04-07 14:02:08+00:00
1712498648,1872,173211,43.5,88.5,2.6,3.165,4.53,2024-04-07 14:04:08+00:00
1712498768,1872,173211,43.5,88.5,2.5,2.96,4.375,2024-04-07 14:06:08+00:00
1712498888,1872,173211,43.5,88.5,2.8,3.04,4.3,2024-04-07 14:08:08+00:00
1712499008,1872,173211,43.5,88.5,2.6,3.005,4.165,2024-04-07 14:10:08+00:00
1712499128,1872,173211,43.5,88.5,2.6,2.94,3.81,2024-04-07 14:12:08+00:00
1712499248,1872,173211,43.5,88.5,2.7,3.17,4.65,2024-04-07 14:14:08+00:00
1712499368,1872,173211,43.5,88.5,2.6,2.89,3.98,2024-04-07 14:16:08+00:00
1712499488,1872,173211,43.5,88.5,2.7,3.08,4.625,2024-04-07 14:18:08+00:00
1712499608,1872,173211,43.5,88.5,2.7,3.04,4.585,2024-04-07 14:20:08+00:00
1712499728,1872,173211,43.5,88.5,2.1,2.88,3.97,2024-04-07 14:22:08+00:00
1712499848,1872,173211,43.5,88.5,2.5,3.23,4.405,2024-04-07 14:24:08+00:00
1712499969,1872,173211,44.5,88.5,2.4,2.855,3.845,2024-04-07 14:26:09+00:00
1712500089,1872,173211,44.5,88.5,2.5,2.715,4.22,2024-04-07 14:28:09+00:00
1712500209,1872,173211,44.5,88.5,2.4,2.81,4.355,2024-04-07 14:30:09+00:00
1712500329,1872,173211,44.5,88.5,2.5,3.22,4.18,2024-04-07 14:32:09+00:00
1712500449,1872,173211,44.5,88.5,2.5,2.975,3.68,2024-04-07 14:34:09+00:00
1712500569,1872,173211,44.5,88.5,2.6,2.525,3.75,2024-04-07 14:36:09+00:00
1712500689,1872,173211,44.5,88.5,2.4,2.98,4.035,2024-04-07 14:38:09+00:00
1712500809,1872,173211,44.5,88.5,2.5,2.94,4.335,2024-04-07 14:40:09+00:00
1712500929,1872,173211,44.5,88.5,2.3,2.82,3.785,2024-04-07 14:42:09+00:00
1712501049,1872,173211,44.5,88.5,2.3,2.665,3.62,2024-04-07 14:44:09+00:00
1712501169,1872,173211,44.5,88.5,2.2,2.725,3.475,2024-04-07 14:46:09+00:00
1712501289,1872,173211,44.5,88.5,2.3,2.775,3.565,2024-04-07 14:48:09+00:00
1712501409,1872,173211,44.5,88.5,2.4,2.635,3.78,2024-04-07 14:50:09+00:00
1712501529,1872,173211,44.5,88.5,2.1,2.4,3.085,2024-04-07 14:52:09+00:00
1712501649,1872,173211,44.5,88.5,2.4,2.745,3.78,2024-04-07 14:54:09+00:00
1712501769,1872,173211,44.5,88.5,2.1,2.385,2.81,2024-04-07 14:56:09+00:00
1712501889,1872,173211,44.5,88.5,2.2,2.55,3.54,2024-04-07 14:58:09+00:00
1712502009,1872,173211,44.5,88.5,2.5,2.87,3.735,2024-04-07 15:00:09+00:00
1712502129,1872,173211,44.5,88.5,2.2,2.605,3.425,2024-04-07 15:02:09+00:00
