time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,date_time_utc
1712498425,1872,173212,42.5,89.0,2.8,3.23,5.035,2024-04-07 14:00:25+00:00
1712498545,1872,173212,43.0,89.0,3.0,3.79,5.14,2024-04-07 14:02:25+00:00
1712498665,1872,173212,43.0,89.0,2.9,3.275,4.845,2024-04-07 14:04:25+00:00
1712498784,1872,173212,43.5,89.0,2.8,3.525,4.59,2024-04-07 14:06:24+00:00
1712498905,1872,173212,43.5,89.0,2.9,3.345,5.045,2024-04-07 14:08:25+00:00
1712499025,1872,173212,43.5,89.0,2.9,3.62,5.11,2024-04-07 14:10:25+00:00
1712499145,1872,173212,43.5,89.0,2.8,3.64,5.325,2024-04-07 14:12:25+00:00
1712499265,1872,173212,43.5,89.0,2.8,3.49,4.7,2024-04-07 14:14:25+00:00
1712499385,1872,173212,43.5,89.0,2.7,3.265,4.545,2024-04-07 14:16:25+00:00
1712499505,1872,173212,44.0,89.0,3.0,3.485,5.025,2024-04-07 14:18:25+00:00
1712499624,1872,173212,44.0,89.0,2.8,3.54,4.67,2024-04-07 14:20:24+00:00
1712499745,1872,173212,43.5,89.0,2.5,3.105,4.315,2024-04-07 14:22:25+00:00
1712499865,1872,173212,43.5,89.0,2.7,2.985,4.795,2024-04-07 14:24:25+00:00
1712499984,1872,173212,43.5,89.0,2.5,2.75,3.645,2024-04-07 14:26:24+00:00
1712500104,1872,173212,44.0,89.0,2.7,2.875,3.83,2024-04-07 14:28:24+00:00
1712500225,1872,173212,44.0,89.0,2.5,2.85,4.035,2024-04-07 14:30:25+00:00
1712500345,1872,173212,44.0,89.0,2.6,2.92,4.23,2024-04-07 14:32:25+00:00
1712500464,1872,173212,44.0,89.0,2.6,2.595,3.74,2024-04-07 14:34:24+00:00
1712500585,1872,173212,44.0,89.0,2.6,3.025,3.96,2024-04-07 14:36:25+00:00
1712500705,1872,173212,44.0,89.0,2.6,2.64,4.31,2024-04-07 14:38:25+00:00
1712500824,1872,173212,44.5,89.0,2.5,2.93,4.04,2024-04-07 14:40:24+00:00
1712500956,1872,173212,44.0,89.0,2.5,2.865,3.87,2024-04-07 14:42:36+00:00
1712501077,1872,173212,44.5,89.0,2.4,3.035,4.62,2024-04-07 14:44:37+00:00
1712501196,1872,173212,44.5,89.0,2.5,2.84,3.965,2024-04-07 14:46:36+00:00
1712501316,1872,173212,44.5,89.0,2.3,2.9,3.92,2024-04-07 14:48:36+00:00
1712501436,1872,173212,44.5,89.0,2.5,2.815,4.295,2024-04-07 14:50:36+00:00
1712501556,1872,173212,44.5,89.0,2.5,2.805,4.225,2024-04-07 14:52:36+00:00
1712501676,1872,173212,44.5,89.0,2.3,2.68,3.87,2024-04-07 14:54:36+00:00
1712501796,1872,173212,44.5,89.0,2.3,2.475,3.765,2024-04-07 14:56:36+00:00
1712501917,1872,173212,44.5,89.0,2.4,2.695,3.655,2024-04-07 14:58:37+00:00
1712502036,1872,173212,44.5,89.0,2.2,2.63,3.635,2024-04-07 15:00:36+00:00
1712502157,1872,173212,44.5,88.5,2.4,2.88,4.095,2024-04-07 15:02:37+00:00
1712502276,1872,173212,44.5,88.5,2.2,2.5,3.515,2024-04-07 15:04:36+00:00
1712502397,1872,173212,44.5,88.5,2.3,2.63,3.6,2024-04-07 15:06:37+00:00
1712502516,1872,173212,44.5,88.5,2.1,2.72,3.395,2024-04-07 15:08:36+00:00
1712502636,1872,173212,44.5,88.5,2.4,2.555,3.6,2024-04-07 15:10:36+00:00
1712502757,1872,173212,44.5,88.5,2.2,2.495,3.765,2024-04-07 15:12:37+00:00
1712502876,1872,173212,44.5,88.5,2.2,2.47,3.57,2024-04-07 15:14:36+00:00
1712502996,1872,173212,44.5,88.5,2.4,2.115,3.35,2024-04-07 15:16:36+00:00
1712503123,1872,173212,44.5,88.5,2.1,2.375,3.235,2024-04-07 15:18:43+00:00
1712503237,1872,173212,44.5,88.5,2.1,2.53,3.12,2024-04-07 15:20:37+00:00
1712503356,1872,173212,44.5,88.5,2.0,2.305,3.32,2024-04-07 15:22:36+00:00
