UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2024/02/24T02:04:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,91,37,61,1012.85,0.02,12216,-51,1661,3.54,5.25,8.14,3.54,5.25,8.14,22,22,759.16,218.84,36.35,7.46,3.74,2.11,2.90,4.66,5.59,2.90,4.66,5.59,19,19,653.07,192.28,31.76,3.74,1.14,0.36,83.89
2024/02/24T02:06:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,91,37,61,1012.79,0.02,12216,-51,1781,2.75,4.86,6.80,2.75,4.86,6.80,20,20,714.32,211.39,43.04,5.30,2.95,1.34,2.88,4.14,5.00,2.88,4.14,5.00,17,17,616.07,184.58,26.61,2.73,1.44,0.00,83.85
2024/02/24T02:08:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,91,36,61,1012.76,0.02,12216,-50,1901,1.97,4.10,6.02,1.97,4.10,6.02,17,17,650.28,190.31,32.28,7.86,2.53,0.84,3.14,4.62,5.48,3.14,4.62,5.48,19,19,671.07,197.93,34.09,3.34,1.14,0.88,84.79
2024/02/24T02:10:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,36,61,1012.80,0.02,12216,-52,2021,2.64,4.05,6.22,2.64,4.05,6.22,17,17,664.47,193.73,29.44,5.93,2.88,1.49,2.93,4.63,5.63,2.93,4.63,5.63,19,19,698.53,205.30,33.91,3.70,1.37,0.75,84.96
2024/02/24T02:12:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,36,61,1012.74,0.02,12216,-50,2141,2.68,4.93,6.17,2.68,4.93,6.17,21,21,682.98,196.58,36.22,6.80,1.54,0.69,2.85,3.98,5.27,2.85,3.98,5.27,17,17,655.63,192.14,27.19,3.69,2.03,0.49,88.66
2024/02/24T02:14:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,35,61,1012.72,0.02,12216,-48,2261,2.45,4.64,6.04,2.45,4.64,6.04,19,19,642.43,186.96,36.36,6.62,2.20,0.55,3.05,4.35,6.05,3.05,4.35,6.05,18,18,655.60,190.73,31.35,5.08,2.78,0.65,86.64
2024/02/24T02:16:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,35,60,1012.68,0.02,12216,-49,2381,2.46,3.86,4.79,2.46,3.86,4.79,16,16,665.68,202.53,28.46,4.56,1.35,0.53,2.74,4.26,5.66,2.74,4.26,5.66,18,18,606.41,180.66,32.43,4.48,2.09,0.95,87.15
2024/02/24T02:18:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,35,60,1012.78,0.02,12216,-52,2501,2.48,4.47,6.55,2.48,4.47,6.55,19,19,657.50,193.53,33.40,7.10,3.02,1.07,2.74,4.72,5.57,2.74,4.72,5.57,20,20,672.93,197.97,35.33,4.03,1.47,0.28,85.83
2024/02/24T02:20:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,35,60,1012.83,0.02,12216,-54,2621,3.08,5.30,6.87,3.08,5.30,6.87,22,22,665.50,198.67,35.45,7.92,2.60,0.37,2.98,4.88,6.09,2.98,4.88,6.09,20,20,659.38,189.62,31.50,6.47,1.52,0.86,85.54
2024/02/24T02:22:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,35,60,1012.83,0.02,12216,-55,2741,2.82,4.68,5.55,2.82,4.68,5.55,19,19,693.64,197.61,33.04,4.88,0.50,0.25,2.93,4.80,6.12,2.93,4.80,6.12,20,20,743.50,213.30,37.20,5.13,1.52,0.52,84.51
2024/02/24T02:24:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,35,60,1012.79,0.02,12216,-52,2861,3.38,6.05,8.21,3.38,6.05,8.21,25,25,763.29,224.39,39.89,9.27,3.20,1.79,3.73,5.13,7.28,3.73,5.13,7.28,21,21,843.50,239.43,39.23,4.25,2.83,1.80,82.65
2024/02/24T02:26:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,35,60,1012.86,0.02,12216,-53,2981,4.61,6.92,9.39,4.61,6.92,9.39,29,29,958.58,282.27,41.95,8.32,3.22,1.93,4.86,7.04,8.68,4.86,7.04,8.68,29,29,1031.05,303.86,41.18,5.00,2.33,0.84,78.66
2024/02/24T02:28:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,60,1012.87,0.02,12216,-53,3101,4.50,6.85,8.63,4.50,6.85,8.63,29,29,969.30,282.70,37.55,5.95,2.35,0.90,4.46,6.30,6.63,4.46,6.30,6.63,26,26,933.16,270.04,29.44,3.91,0.51,0.28,75.49
2024/02/24T02:30:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,59,1012.87,0.02,12216,-53,3221,4.14,7.51,9.56,4.14,7.51,9.56,31,31,913.26,257.58,47.07,10.56,2.72,1.72,4.23,6.23,7.20,4.23,6.23,7.20,26,26,868.20,257.83,40.50,3.28,1.57,0.82,73.26
2024/02/24T02:32:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,59,1012.83,0.02,12216,-54,3341,4.20,6.12,7.61,4.20,6.12,7.61,26,26,844.18,246.68,37.61,5.32,2.18,0.89,3.88,5.68,7.42,3.88,5.68,7.42,24,24,857.69,249.69,40.95,5.32,2.46,1.19,73.16
2024/02/24T02:34:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,59,1012.88,0.02,12216,-55,3461,3.90,6.90,8.43,3.90,6.90,8.43,29,29,861.00,253.48,43.95,8.69,2.41,1.22,4.04,6.19,7.32,4.04,6.19,7.32,26,26,848.63,251.37,41.75,5.30,1.56,0.35,72.68
2024/02/24T02:36:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,59,1012.90,0.02,12216,-52,3581,2.59,4.71,6.90,2.59,4.71,6.90,20,20,750.51,218.71,33.49,8.27,2.92,2.10,3.88,5.23,6.25,3.88,5.23,6.25,22,22,797.58,237.79,30.58,2.75,1.56,0.39,72.04
2024/02/24T02:38:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,33,59,1012.85,0.02,12048,-55,3701,3.72,6.95,9.40,3.72,6.95,9.40,29,29,822.42,243.51,42.67,12.28,3.39,1.72,3.28,4.89,6.21,3.28,4.89,6.21,20,20,745.16,219.33,31.47,4.84,2.21,0.47,68.87
2024/02/24T02:40:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,59,1012.90,0.02,12216,-52,3821,4.00,5.85,8.27,4.00,5.85,8.27,24,24,812.34,237.29,34.25,8.05,3.63,1.93,3.16,4.88,6.95,3.16,4.88,6.95,20,20,735.52,212.72,35.90,5.03,2.71,1.45,68.71
2024/02/24T02:42:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,33,60,1012.96,0.02,12216,-53,3941,3.37,5.68,8.36,3.37,5.68,8.36,24,24,755.49,219.42,39.86,9.42,4.07,2.10,3.20,4.90,6.39,3.20,4.90,6.39,20,20,721.93,210.51,36.83,4.24,1.93,0.59,69.15
2024/02/24T02:44:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,33,60,1012.94,0.02,12216,-53,4061,2.75,4.39,5.39,2.75,4.39,5.39,18,18,710.11,202.60,30.96,4.16,1.51,0.75,3.25,4.88,6.24,3.25,4.88,6.24,20,20,710.24,213.53,31.14,3.93,1.76,0.41,69.02
2024/02/24T02:46:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,33,59,1012.95,0.02,12216,-49,4181,2.74,5.45,7.45,2.74,5.45,7.45,23,23,733.86,214.03,34.66,8.72,2.71,1.34,3.44,4.81,6.54,3.44,4.81,6.54,20,20,768.00,224.07,33.15,5.08,2.19,1.54,71.95
2024/02/24T02:48:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,33,59,1012.91,0.02,12216,-52,4301,3.29,5.67,7.00,3.29,5.67,7.00,24,24,705.62,207.03,36.19,7.84,1.95,1.09,2.68,4.60,5.77,2.68,4.60,5.77,19,19,736.00,215.19,34.91,4.56,1.47,0.86,70.59
2024/02/24T02:50:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,59,1012.94,0.02,12216,-52,4421,3.24,5.47,6.88,3.24,5.47,6.88,23,23,706.98,207.59,39.64,6.98,2.05,1.03,3.09,4.91,6.65,3.09,4.91,6.65,20,20,723.47,204.74,35.42,5.51,3.09,0.49,71.06
2024/02/24T02:52:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,59,1012.95,0.02,12216,-53,4541,3.11,4.74,6.82,3.11,4.74,6.82,20,20,743.26,217.44,29.07,5.77,2.47,1.60,3.51,5.36,5.97,3.51,5.36,5.97,22,22,760.47,223.86,37.03,2.93,0.66,0.32,71.46
2024/02/24T02:54:37z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,59,1012.99,0.02,12216,-51,4661,3.39,5.05,6.96,3.39,5.05,6.96,21,21,760.42,221.44,28.47,5.46,2.30,1.96,3.60,5.31,5.98,3.60,5.31,5.98,22,22,754.76,223.07,29.93,3.22,0.95,0.19,73.61
